squareMeters,floor,buildYear,poiCount,price_per_m2,clinicDistance_binned,kindergartenDistance_binned,collegeDistance_binned,pharmacyDistance_binned,centreDistance_binned,price_per_m2_log,hasParkingSpace_yes,hasBalcony_yes,hasElevator_no,hasElevator_yes,type_blockOfFlats,type_tenement,condition_premium,condition_standard
47.5,1.0,2000.0,0.0,13484.0,3,2,2,2,9,9.50925907635395,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
34.0,3.0,1958.0,15.0,16765.0,0,0,0,0,4,9.72704865890033,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
52.5,2.0,1980.0,19.0,14286.0,1,0,2,0,5,9.567035315714918,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
38.0,1.0,1950.0,24.0,15395.0,0,0,0,0,1,9.641798060358601,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32.7,1.0,2002.0,11.0,14985.0,0,0,2,0,4,9.614804979750764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52.3,3.0,1973.0,13.0,13365.0,2,0,4,0,5,9.50039462857302,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
50.1,9.0,1975.0,2.0,13154.0,2,0,3,1,8,9.484481173861296,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
42.0,2.0,1970.0,10.0,16548.0,1,0,2,0,3,9.714020527581303,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
45.0,1.0,1920.0,45.0,16444.0,0,1,1,0,1,9.70771594801777,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
55.56,4.0,1958.0,32.0,18988.0,0,0,0,0,3,9.851562479671209,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
37.0,3.0,1970.0,10.0,18108.0,1,0,2,0,3,9.80410910855585,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
71.0,1.0,1920.0,45.0,15197.0,0,0,1,0,1,9.628853318933604,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35.2,3.0,1925.0,25.0,16903.0,0,0,0,0,2,9.735246399950178,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
62.2,3.0,2007.0,11.0,14309.0,1,0,1,0,6,9.568643988906736,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
100.0,3.0,1930.0,45.0,13453.0,0,0,0,0,1,9.506957408485542,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
70.0,3.0,1937.0,29.0,17129.0,0,0,0,0,2,9.748528212497986,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
47.0,4.0,1972.0,19.0,14872.0,3,0,0,0,8,9.60723552940128,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
51.0,2.0,2019.0,13.0,22941.0,1,0,1,0,5,10.040680981712335,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
68.0,2.0,1920.0,45.0,22044.0,0,0,0,0,1,10.000795735003125,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
49.91,3.0,1965.0,16.0,13625.0,2,0,1,0,4,9.519661619531444,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
40.0,1.0,2015.0,9.0,19725.0,0,0,1,0,2,9.889642145714076,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
88.0,1.0,1922.0,43.0,25399.0,0,0,0,0,2,10.142465082152865,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
67.0,1.0,1937.0,45.0,17537.0,0,0,0,0,1,9.772068213669293,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
80.0,3.0,1920.0,45.0,16125.0,1,0,0,0,1,9.688126141663973,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
57.64,2.0,1982.0,19.0,11971.0,1,0,4,0,8,9.39024233725137,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
75.0,6.0,2016.0,45.0,14493.0,0,1,0,0,1,9.581421053222517,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
29.17,6.0,2000.0,19.0,23277.0,1,0,1,0,3,10.055221027562059,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
55.4,4.0,2016.0,22.0,16408.0,2,0,2,0,4,9.705524299752216,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
57.78,13.0,2022.0,12.0,22759.0,1,0,1,0,5,10.032715950543913,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
40.0,2.0,1955.0,20.0,18000.0,0,0,0,0,3,9.798127036878302,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,2.0,1928.0,45.0,22330.0,0,0,0,0,1,10.013686344834204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
86.3,1.0,1990.0,21.0,17370.0,0,0,1,0,2,9.76249985923515,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
45.1,2.0,1964.0,23.0,13304.0,1,0,2,0,8,9.495820020872763,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
100.0,2.0,2023.0,1.0,13031.0,3,1,6,1,8,9.475086413144906,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
41.0,3.0,1965.0,23.0,16073.0,2,0,2,0,8,9.684896124569141,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
63.2,3.0,1920.0,4.0,17247.0,1,1,1,1,2,9.7553934942914,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
73.0,7.0,2018.0,18.0,20548.0,1,0,1,0,1,9.930518891587159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49.6,3.0,1965.0,13.0,14113.0,0,0,1,0,2,9.554851637414007,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
50.1,9.0,2000.0,16.0,14950.0,0,0,0,0,7,9.612466578818832,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
65.25,9.0,1991.0,9.0,11647.0,4,0,2,0,6,9.362803915102651,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
39.36,5.0,1966.0,34.0,15218.0,0,0,0,0,3,9.630234216736469,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57.7,7.0,1975.0,32.0,14558.0,0,0,0,0,3,9.585895949678203,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
46.0,1.0,2000.0,10.0,18674.0,2,0,3,0,6,9.834887461043872,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
59.1,1.0,2009.0,21.0,13283.0,0,0,5,0,6,9.494240301132503,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
77.0,4.0,1967.0,34.0,13636.0,0,0,0,0,2,9.520468633257794,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
46.0,5.0,2017.0,3.0,16848.0,3,0,5,0,6,9.731987234373756,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
64.0,1.0,1935.0,21.0,20156.0,1,0,1,0,2,9.911257289800488,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
38.0,2.0,1927.0,17.0,23158.0,1,0,1,0,1,10.050095572172218,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
37.0,6.0,2015.0,9.0,22568.0,0,0,1,0,2,10.024288252681833,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
64.55,3.0,2016.0,15.0,16964.0,0,0,1,0,5,9.738848730594482,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
74.4,2.0,2014.0,23.0,22820.0,0,1,1,0,2,10.035392623416067,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
49.0,3.0,1922.0,16.0,16937.0,0,0,0,0,2,9.737255856891121,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
50.39,8.0,1922.0,33.0,18258.0,0,0,0,0,2,9.812358619125026,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
74.64,3.0,2011.0,4.0,12726.0,4,1,6,0,9,9.451402423792738,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
60.8,2.0,1990.0,16.0,13076.0,0,0,0,0,7,9.478533767844102,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
42.7,3.0,2000.0,3.0,19485.0,1,0,2,0,3,9.87740021777281,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
52.5,1.0,2000.0,26.0,15048.0,0,0,2,0,5,9.619000370980867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
